"cohort_month","months_since_first","active_customers"
"2016-09-01 00:00:00",0.0,1
"2016-10-01 00:00:00",0.0,262
"2016-10-01 00:00:00",1.0,1
"2016-10-01 00:00:00",3.0,1
"2016-10-01 00:00:00",5.0,1
"2016-10-01 00:00:00",6.0,1
"2016-10-01 00:00:00",7.0,2
"2016-10-01 00:00:00",8.0,2
"2016-10-01 00:00:00",9.0,1
"2016-10-01 00:00:00",11.0,1
"2016-12-01 00:00:00",0.0,1
"2016-12-01 00:00:00",1.0,1
"2017-01-01 00:00:00",0.0,717
"2017-01-01 00:00:00",1.0,5
"2017-01-01 00:00:00",2.0,3
"2017-01-01 00:00:00",3.0,2
"2017-01-01 00:00:00",4.0,5
"2017-01-01 00:00:00",5.0,4
"2017-01-01 00:00:00",6.0,3
"2017-01-01 00:00:00",7.0,2
"2017-01-01 00:00:00",8.0,1
"2017-01-01 00:00:00",10.0,3
"2017-01-01 00:00:00",11.0,1
"2017-02-01 00:00:00",0.0,1628
"2017-02-01 00:00:00",1.0,6
"2017-02-01 00:00:00",2.0,7
"2017-02-01 00:00:00",3.0,3
"2017-02-01 00:00:00",4.0,8
"2017-02-01 00:00:00",5.0,5
"2017-02-01 00:00:00",6.0,4
"2017-02-01 00:00:00",7.0,3
"2017-02-01 00:00:00",8.0,2
"2017-02-01 00:00:00",9.0,3
"2017-02-01 00:00:00",10.0,2
"2017-02-01 00:00:00",11.0,5
"2017-03-01 00:00:00",0.0,2503
"2017-03-01 00:00:00",1.0,14
"2017-03-01 00:00:00",2.0,13
"2017-03-01 00:00:00",3.0,15
"2017-03-01 00:00:00",4.0,11
"2017-03-01 00:00:00",5.0,7
"2017-03-01 00:00:00",6.0,4
"2017-03-01 00:00:00",7.0,8
"2017-03-01 00:00:00",8.0,8
"2017-03-01 00:00:00",9.0,2
"2017-03-01 00:00:00",10.0,9
"2017-03-01 00:00:00",11.0,3
"2017-04-01 00:00:00",0.0,2256
"2017-04-01 00:00:00",1.0,15
"2017-04-01 00:00:00",2.0,7
"2017-04-01 00:00:00",3.0,6
"2017-04-01 00:00:00",4.0,9
"2017-04-01 00:00:00",5.0,6
"2017-04-01 00:00:00",6.0,8
"2017-04-01 00:00:00",7.0,7
"2017-04-01 00:00:00",8.0,7
"2017-04-01 00:00:00",9.0,4
"2017-04-01 00:00:00",10.0,6
"2017-04-01 00:00:00",11.0,2
"2017-05-01 00:00:00",0.0,3451
"2017-05-01 00:00:00",1.0,17
"2017-05-01 00:00:00",2.0,22
"2017-05-01 00:00:00",3.0,17
"2017-05-01 00:00:00",4.0,10
"2017-05-01 00:00:00",5.0,11
"2017-05-01 00:00:00",6.0,14
"2017-05-01 00:00:00",7.0,5
"2017-05-01 00:00:00",8.0,9
"2017-05-01 00:00:00",9.0,9
"2017-05-01 00:00:00",10.0,9
"2017-05-01 00:00:00",11.0,12
"2017-06-01 00:00:00",0.0,3037
"2017-06-01 00:00:00",1.0,19
"2017-06-01 00:00:00",2.0,18
"2017-06-01 00:00:00",3.0,13
"2017-06-01 00:00:00",4.0,9
"2017-06-01 00:00:00",5.0,12
"2017-06-01 00:00:00",6.0,11
"2017-06-01 00:00:00",7.0,7
"2017-06-01 00:00:00",8.0,4
"2017-06-01 00:00:00",9.0,6
"2017-06-01 00:00:00",10.0,9
"2017-06-01 00:00:00",11.0,11
"2017-07-01 00:00:00",0.0,3752
"2017-07-01 00:00:00",1.0,29
"2017-07-01 00:00:00",2.0,13
"2017-07-01 00:00:00",3.0,9
"2017-07-01 00:00:00",4.0,11
"2017-07-01 00:00:00",5.0,8
"2017-07-01 00:00:00",6.0,12
"2017-07-01 00:00:00",7.0,4
"2017-07-01 00:00:00",8.0,7
"2017-07-01 00:00:00",9.0,10
"2017-07-01 00:00:00",10.0,8
"2017-07-01 00:00:00",11.0,11
"2017-08-01 00:00:00",0.0,4057
"2017-08-01 00:00:00",1.0,28
"2017-08-01 00:00:00",2.0,14
"2017-08-01 00:00:00",3.0,11
"2017-08-01 00:00:00",4.0,14
"2017-08-01 00:00:00",5.0,21
"2017-08-01 00:00:00",6.0,12
"2017-08-01 00:00:00",7.0,11
"2017-08-01 00:00:00",8.0,6
"2017-08-01 00:00:00",9.0,6
"2017-08-01 00:00:00",10.0,10
"2017-08-01 00:00:00",11.0,8
"2017-09-01 00:00:00",0.0,4004
"2017-09-01 00:00:00",1.0,28
"2017-09-01 00:00:00",2.0,22
"2017-09-01 00:00:00",3.0,11
"2017-09-01 00:00:00",4.0,18
"2017-09-01 00:00:00",5.0,9
"2017-09-01 00:00:00",6.0,9
"2017-09-01 00:00:00",7.0,10
"2017-09-01 00:00:00",8.0,11
"2017-09-01 00:00:00",9.0,7
"2017-09-01 00:00:00",10.0,10
"2017-09-01 00:00:00",11.0,3
"2017-10-01 00:00:00",0.0,4328
"2017-10-01 00:00:00",1.0,31
"2017-10-01 00:00:00",2.0,11
"2017-10-01 00:00:00",3.0,4
